"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B00IKDI66O","B00IKDI66O","Jonard Tools TK-17 Punchdown Tool Kit for 66/110 Blocks","JONARD TOOLS","Amazon","Tools & Home Improvement",176909,"Tool Sets",115.98,-13,74,10,8582.52,288,4.7,"Amazon",12,783,200,"Large Standard-Size",4.6062992125984,9.6850393700787,3.503937007874,2.39463,"N/A","N/A","03/01/2022",101,6,2,0.26
"https://amazon.com/dp/B006962KFW","B006962KFW","Jonard PT-300 Voltage Protected Coax Cable Wire Tracer Pocket Continuity Tester & Toner with Audible Beep and LED","JONARD TOOLS","Amazon","Tools & Home Improvement",32304,"Multi Testers",23.99,-2,349,-2,8372.51,1597,4.7,"Amazon",3,3482,"N/A","Large Standard-Size",2.91,8.35,0.83,0.26019,"N/A","N/A","03/01/2023",135,7,3,0.22
"https://amazon.com/dp/B07VVMTBKP","B07VVMTBKP","Jonard Tools TWAF-71630K, Pink Full Head Torque Wrench, 7/16"" Drive Size, 20 in-lb Torque, Breast Cancer Awareness","JONARD TOOLS","FBM","Tools & Home Improvement",148771,"Torque Wrenches",77.98,107,106,3,8265.88,476,4.7,"Data Alchemy",1,1003,-15,"Large Standard-Size",2.5,8,1,0.350595,"N/A","N/A","05/01/2021",45,4,11,0.22
"https://amazon.com/dp/B08F6PWSRL","B08F6PWSRL","Jonard Tools TK-121 Fiber Prep Kit+","JONARD TOOLS","Amazon","Tools & Home Improvement",291289,"Wire Strippers",292.21,3,28,14,8181.88,47,4.5,"Amazon",7,"N/A","N/A","Small Oversize",10.5,11.5,9,6.30189,"N/A","N/A","09/01/2022",33,6,10,0.6
"https://amazon.com/dp/B006C3Y8IY","B006C3Y8IY","Jonard Tools EX-2 DIP/IC Extraction Tool for Mircochips with 24-40 Pin","JONARD TOOLS","Amazon","Industrial & Scientific",20821,"Extraction Tools",26.95,20,300,-61,8085,948,4.5,"Amazon",15,8093,-22,"Large Standard-Size",3.6220472440945,8.3858267716535,1.0236220472441,0.14553,"N/A","N/A","03/01/2022",138,4,3,0.32
"https://amazon.com/dp/B0032QZMZ2","B0032QZMZ2","Jonard Tools ST-500ESD ESD-Safe Adjustable Precision Wire Stripper, 20-30 AWG","JONARD TOOLS","Amazon","Tools & Home Improvement",94278,"Wire Strippers",54.95,13,147,-23,8077.65,252,4.2,"Amazon",9,1716,10,"Small Standard-Size",2.7952755905512,7.8740157480315,0.74803149606299,0.0882,"N/A","N/A","03/01/2023",135,6,5,0.58
"https://amazon.com/dp/B006962JSK","B006962JSK","Jonard Tools ND-631 Nut Driver 7-Piece Set, Hex Nut Sizes 3/16"", 1/4"", 5/16"", 11/32"", 3/8"", 7/16"", 1/2"" with 3"" Hollow Shaft and Ergonomic Comfort Grip","JONARD TOOLS","Amazon","Tools & Home Improvement",109506,"Nut Drivers",51.65,12,156,114,8057.4,120,4.5,"Amazon",7,344,"N/A","Large Standard-Size",8.2,2,12.7,2.2,"N/A","N/A","04/01/2023",84,6,10,1.3
"https://amazon.com/dp/B006C3SFX8","B006C3SFX8","DblEnd SpWrnc,S-Shp,7-1/2"",Steel","JONARD TOOLS","Amazon","Tools & Home Improvement",26344,"Combination Wrenches",15.35,15,523,-1,8028.05,1907,4.8,"Amazon",14,"N/A","N/A","Small Standard-Size",2.13,9.96,0.35,0.26019,"N/A","N/A","03/01/2023",135,5,10,0.27
"https://amazon.com/dp/B09PPV94TJ","B09PPV94TJ","Jonard Tools ROD-3316 Coated Fiberglass Fish Tape Duct Rodder with Accessory Kit, 3/16"" x 300'","JONARD TOOLS","Amazon","Tools & Home Improvement",376831,"Fish Tape",399.95,-4,20,0,7999,13,4,"Amazon",2,"N/A","N/A","Small Oversize",19.75,24.25,18.5,16.402995,"N/A","N/A","05/01/2023",16,5,6,1.54
"https://amazon.com/dp/B09GSX7F5S","B09GSX7F5S","Jonard Tools TK-107 Advanced Fiber Optic Cable Access Kit with MS-336 and MS-526 Midspan Slitting and Ring Tools","JONARD TOOLS","Amazon","Tools & Home Improvement",500495,"Tool Sets",1130.76,2,7,-26,7915.32,18,4.6,"Amazon",6,"N/A","N/A","Small Oversize",10.5,11.5,9,7.35147,"N/A","N/A","09/01/2022",19,6,5,0.39
